# flightline, latitude_mean, longitude_mean, elevation_mean, latitude_stdev, longitude_stdev, elevation_stdev, cloud_fraction, ndvi_mean, ndvi_stdev, dimensionality
ang20190719t000340 61.21216965 -117.45188904 139.42440796 0.00693321 0.01641814 7.30311537 0.00000000 0.02267704 0.66885364 34
ang20190719t000340 61.25789261 -117.45278931 148.34738159 0.00727989 0.01654202 10.54062271 0.00000000 0.43766943 0.58228070 37
ang20190719t000340 61.11891937 -117.45032501 173.61398315 0.00722014 0.01636536 4.43937588 0.00000000 0.78694385 0.09664027 26
ang20190719t000340 61.16570663 -117.45120239 163.47131348 0.00698661 0.01651295 4.65169096 0.00000000 0.79441714 0.12985428 29
ang20190719t000340 61.13835144 -117.45118713 170.28695679 0.00723666 0.01644574 3.67889023 0.00000000 0.79696608 0.13335638 14
ang20190719t000340 61.18799973 -117.45177460 153.31987000 0.00688902 0.01641811 7.18118048 0.00000000 0.74517685 0.27328706 33
ang20190719t000340 61.23868561 -117.45210266 137.94812012 0.00726855 0.01640713 7.36210060 0.00000000 -0.17922361 0.61587685 58
ang20190725t232343 69.04467010 -134.22538757 17.82531738 0.00696549 0.01971491 0.52212071 0.00000000 0.80679542 0.30107221 25
ang20190725t232343 69.01897430 -134.34663391 24.15572357 0.00689951 0.01954978 18.63200760 0.00000000 0.75444251 0.27820629 33
ang20190725t232343 69.00087738 -134.46781921 24.09660339 0.00633376 0.01970782 32.05456924 0.00000000 0.70120549 0.37725115 22
ang20190725t232343 68.98596954 -134.58901978 16.46059990 0.00728412 0.01956712 8.39649487 0.00000000 0.68998533 0.41543743 31
ang20190725t232343 68.96036530 -134.70779419 13.94385815 0.00652680 0.01928102 20.06179428 0.00000000 0.63603991 0.51255089 27
ang20190725t232343 69.05525970 -134.15310669 19.95442009 0.00733171 0.01971246 5.74773073 0.00000000 0.72340274 0.41487482 23
ang20190725t232343 68.75482941 -135.89521790 5.34350204 0.00718510 0.01934076 2.04144001 0.00000000 0.57149094 0.22564635 28
ang20190725t232343 69.11358643 -133.78846741 10.75109196 0.00735145 0.01947069 8.61733627 0.00000000 0.19744878 0.62125230 35
ang20190725t232343 68.80352020 -135.65773010 5.00000000 0.00728370 0.01935797 0.00000000 0.00000000 0.07359400 0.06452722 28
ang20190725t232343 68.77884674 -135.77630615 5.46793652 0.00624078 0.01954568 1.32433736 0.00000000 0.21969929 0.11554064 31
ang20190725t232343 69.12688446 -133.66665649 8.10715389 0.00664508 0.01935610 7.31415606 0.00000000 0.68347538 0.43412405 30
ang20190725t232343 69.06725311 -134.03196716 32.55052948 0.00720226 0.01973617 6.37260818 0.00000000 0.42090854 0.62697399 22
ang20190725t232343 68.84020996 -135.42210388 10.40344906 0.00622649 0.01892031 15.59796429 0.00000000 0.60203564 0.27495226 50
ang20190725t232343 68.81701660 -135.53993225 5.00000000 0.00706491 0.01909771 0.00000000 0.00000000 0.46839610 0.22220747 31
ang20190725t232343 69.08947754 -133.90998840 42.59174728 0.00624833 0.01966920 5.25130177 0.00000000 0.69611210 0.46145758 28
ang20190725t232343 68.86514282 -135.30403137 16.08205986 0.00725438 0.01877599 24.25119019 0.00000000 0.57567352 0.33881181 26
ang20190725t232343 68.92614746 -134.94735718 15.47023010 0.00731685 0.01887329 10.63658333 0.00000000 0.48844615 0.50316697 37
ang20190725t232343 68.93974304 -134.82795715 18.33888054 0.00676893 0.01891678 8.09726810 0.00000000 0.15925819 0.42929560 32
ang20190725t232343 68.87876892 -135.18466187 16.42598724 0.00695379 0.01868737 13.35386181 0.00000000 0.64847189 0.27793899 27
ang20190725t232343 68.90094757 -135.06669617 14.15662479 0.00639933 0.01884145 11.71616077 0.00000000 0.62335545 0.34145656 29
ang20190725t232343 68.74919128 -135.96583557 5.39480686 0.00641811 0.01935145 2.16272044 0.00000000 0.58399802 0.22842412 25
ang20190725t232343 69.06199646 -134.10356140 32.68216705 0.00625108 0.01972448 8.76428032 0.00000000 0.77160823 0.33531627 19
ang20190725t232343 68.82736206 -135.48829651 7.13469219 0.00714677 0.01908510 12.86970329 0.00000000 0.47810546 0.23683631 27
