flightline,latitude_mean,longitude_mean,elevation_mean,latitude_stdev,longitude_stdev,elevation_stdev,cloud_fraction,ndvi_mean,ndvi_stdev,dimensionality
ang20190719t000340,61.21216965,-117.451889,139.424408,0.00693321,0.01641814,7.30311537,0,0.02267704,0.66885364,34
ang20190719t000340,61.25789261,-117.4527893,148.3473816,0.00727989,0.01654202,10.54062271,0,0.43766943,0.5822807,37
ang20190719t000340,61.11891937,-117.450325,173.6139832,0.00722014,0.01636536,4.43937588,0,0.78694385,0.09664027,26
ang20190719t000340,61.16570663,-117.4512024,163.4713135,0.00698661,0.01651295,4.65169096,0,0.79441714,0.12985428,29
ang20190719t000340,61.13835144,-117.4511871,170.2869568,0.00723666,0.01644574,3.67889023,0,0.79696608,0.13335638,14
ang20190719t000340,61.18799973,-117.4517746,153.31987,0.00688902,0.01641811,7.18118048,0,0.74517685,0.27328706,33
ang20190719t000340,61.23868561,-117.4521027,137.9481201,0.00726855,0.01640713,7.3621006,0,-0.17922361,0.61587685,58
ang20190725t232343,69.0446701,-134.2253876,17.82531738,0.00696549,0.01971491,0.52212071,0,0.80679542,0.30107221,25
ang20190725t232343,69.0189743,-134.3466339,24.15572357,0.00689951,0.01954978,18.6320076,0,0.75444251,0.27820629,33
ang20190725t232343,69.00087738,-134.4678192,24.09660339,0.00633376,0.01970782,32.05456924,0,0.70120549,0.37725115,22
ang20190725t232343,68.98596954,-134.5890198,16.4605999,0.00728412,0.01956712,8.39649487,0,0.68998533,0.41543743,31
ang20190725t232343,68.9603653,-134.7077942,13.94385815,0.0065268,0.01928102,20.06179428,0,0.63603991,0.51255089,27
ang20190725t232343,69.0552597,-134.1531067,19.95442009,0.00733171,0.01971246,5.74773073,0,0.72340274,0.41487482,23
ang20190725t232343,68.75482941,-135.8952179,5.34350204,0.0071851,0.01934076,2.04144001,0,0.57149094,0.22564635,28
ang20190725t232343,69.11358643,-133.7884674,10.75109196,0.00735145,0.01947069,8.61733627,0,0.19744878,0.6212523,35
ang20190725t232343,68.8035202,-135.6577301,5,0.0072837,0.01935797,0,0,0.073594,0.06452722,28
ang20190725t232343,68.77884674,-135.7763062,5.46793652,0.00624078,0.01954568,1.32433736,0,0.21969929,0.11554064,31
ang20190725t232343,69.12688446,-133.6666565,8.10715389,0.00664508,0.0193561,7.31415606,0,0.68347538,0.43412405,30
ang20190725t232343,69.06725311,-134.0319672,32.55052948,0.00720226,0.01973617,6.37260818,0,0.42090854,0.62697399,22
ang20190725t232343,68.84020996,-135.4221039,10.40344906,0.00622649,0.01892031,15.59796429,0,0.60203564,0.27495226,50
ang20190725t232343,68.8170166,-135.5399323,5,0.00706491,0.01909771,0,0,0.4683961,0.22220747,31
ang20190725t232343,69.08947754,-133.9099884,42.59174728,0.00624833,0.0196692,5.25130177,0,0.6961121,0.46145758,28
ang20190725t232343,68.86514282,-135.3040314,16.08205986,0.00725438,0.01877599,24.25119019,0,0.57567352,0.33881181,26
ang20190725t232343,68.92614746,-134.9473572,15.4702301,0.00731685,0.01887329,10.63658333,0,0.48844615,0.50316697,37
ang20190725t232343,68.93974304,-134.8279572,18.33888054,0.00676893,0.01891678,8.0972681,0,0.15925819,0.4292956,32
ang20190725t232343,68.87876892,-135.1846619,16.42598724,0.00695379,0.01868737,13.35386181,0,0.64847189,0.27793899,27
ang20190725t232343,68.90094757,-135.0666962,14.15662479,0.00639933,0.01884145,11.71616077,0,0.62335545,0.34145656,29
ang20190725t232343,68.74919128,-135.9658356,5.39480686,0.00641811,0.01935145,2.16272044,0,0.58399802,0.22842412,25
ang20190725t232343,69.06199646,-134.1035614,32.68216705,0.00625108,0.01972448,8.76428032,0,0.77160823,0.33531627,19
ang20190725t232343,68.82736206,-135.4882965,7.13469219,0.00714677,0.0190851,12.86970329,0,0.47810546,0.23683631,27
ang20190725t232343,69.07717133,-133.981308,48.62175751,0.00721272,0.01956911,5.45339966,0,0.37743527,0.59429699,28
ang20190725t232343,69.10170746,-133.8589325,39.53946686,0.00643744,0.01951471,18.97823524,0,0.38892487,0.57624859,29
ang20190725t232343,68.81152344,-135.6082611,5,0.00647491,0.01930141,0,0,0.2135316,0.10757395,32
ang20190725t232343,68.79186249,-135.728241,5,0.00663481,0.01961679,0,0,0.09030169,0.0517694,11
ang20190725t232343,68.74123383,-136.0144806,6.39887762,0.00727744,0.01922332,2.51403785,0,0.56761003,0.19430983,30
ang20190725t232343,69.12211609,-133.736084,11.38647556,0.00684323,0.01949328,18.28513527,0,0.61390889,0.4962936,26
ang20190725t232343,69.13466644,-133.6129761,11.43805981,0.00736398,0.01922925,15.41963196,0,0.53674072,0.52917379,32
ang20190725t232343,68.76525879,-135.8473358,5.46552467,0.00716976,0.01952432,1.11675978,0,0.50659811,0.26654106,35
ang20190725t232343,68.85342407,-135.3677368,8.18595791,0.00659494,0.01888615,7.53521776,0,0.51917046,0.32618484,25
ang20190725t232343,68.87350464,-135.2467957,11.38733387,0.0065631,0.01865887,9.78534031,0,0.72679079,0.2246291,26
ang20190725t232343,68.88825989,-135.1254425,11.68858528,0.00723397,0.01888653,7.69996881,0,0.5562681,0.33275399,26
ang20190725t232343,68.9138031,-135.0043335,17.45836639,0.00647006,0.01897906,27.92391586,0,0.72737753,0.33799222,25
ang20190725t232343,68.93496704,-134.8827972,23.74210739,0.00682665,0.01897464,19.16145515,0,0.55475771,0.44272149,43
ang20190725t232343,68.99572754,-134.5178375,18.93147278,0.00712608,0.01936985,9.43990898,0,0.68082213,0.365596,23
ang20190725t232343,68.97342682,-134.6397553,16.17611122,0.00632064,0.01927917,16.8342247,0,0.43502218,0.51262391,36
